SEGUNDA PASADA - ANALISIS PROFUNDO DE MIGRACION DE ESQUEMA
Proyecto: IngresoUniversitarioTPI135
Fecha: 2026-05-15
Estado: solo analisis, sin cambios de codigo

ENTRADA Y SUPOSICIONES
- Esquema viejo: src/test/resources/ingresoTPI135_init.sql
- Esquema nuevo: provisto por el usuario (no esta en repo)
- El backend actual esta acoplado al esquema viejo (tablas y nombres plurales)
- Esta pasada asume que el esquema nuevo es el objetivo final y se migra todo el backend

RESUMEN EJECUTIVO
- El cambio no es solo renombre: elimina usuarios_sistema, normaliza preguntas/respuestas,
  separa aulas y disponibilidad por turno, y cambia la identidad de examenes a inscripcion.
- El impacto es transversal: entidades JPA, DAOs, JPQL, REST endpoints, tests BDD/IT/ST y seeds.
- Hay fallos de compilacion asegurados si se eliminan las entidades obsoletas sin refactor global.
- Aun manteniendo clases, se rompe runtime por FKs, NOT NULL y UNIQUE nuevos.
- Requiere fase previa de datos/semillas para evitar falsos negativos en tests.

- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/AreasConocimientoDAO.java | Problema: renombre de tabla y UNIQUE nombre_area | Severidad: Media | Accion: ajustar entity.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/InscripcionesPruebaDAO.java | Problema: UNIQUE aspirante+prueba; tabla renombrada | Severidad: Alta | Accion: mantener existsByAspiranteAndPrueba y ajustar entity.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/CarrerasElegidaDAO.java | Problema: UNIQUE por prioridad | Severidad: Alta | Accion: validar prioridad unica antes de crear.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/ProcesoAdmisionAspiranteDAO.java | Problema: entidad renombrada y FK renombrados | Severidad: Media | Accion: ajustar entity; validar constraints nuevas.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/TurnosExamanDAO.java | Problema: tabla renombrada + check hora_inicio<hora_fin | Severidad: Media | Accion: agregar validacion de horario.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/ClavesExamanDAO.java | Problema: tabla renombrada | Severidad: Media | Accion: ajustar entity.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/PruebasAdmisionDAO.java | Problema: tabla renombrada + UNIQUE nombre_prueba/anio | Severidad: Media | Accion: validar duplicados.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/CatalogoCarreraDAO.java | Problema: tabla renombrada | Severidad: Media | Accion: ajustar entity.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/CuposCarreraDAO.java | Problema: FK a entidades renombradas | Severidad: Media | Accion: ajustar entity.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/IngresoDefaultDataAccess.java | Problema: depende de entidades actualizadas | Severidad: Baja | Accion: sin cambios, validar con nuevas entidades.
- src/main/java/sv/edu/ues/occ/ingenieria/tpi135/ingreso/web/ingresouniversitariotpi135/Control/IngresoDAOInterface.java | Problema: none | Severidad: Baja | Accion: sin cambios.
